,disposition,period,time0bk,impact,duration,depth,ror,srho,prad,sma,incl,teq,insol,dor,ldm_coeff2,ldm_coeff1,count,tce_plnt_num,steff,slogg,smet,srad,smass,ra,dec,kepmag,hmag
9422,FALSE POSITIVE,6.728220949450915,5.626760312444371,0.27550160244851557,3.40562708943589,6.909354997152008,0.02058354648819412,0.8666176019481104,1.5255146538232274,1.1157,89.92,248.0,0.8088669356527824,6.032132290620717,0.2868,0.3588,1,1.0,6018.0,4.485,-0.04,0.8635849761573655,1.058,285.94116,44.994148,15.499,13.925
9423,FALSE POSITIVE,6.602650518134847,5.871866539912754,1.0287141228604835,4.284879178289511,7.886231907698511,0.2569985903137752,0.002049998564148549,3.978161246878526,0.9929,87.15,260.0,0.9436034286108381,3.892236531279264,0.2965,0.3342,1,1.0,6063.0,4.473,-0.32,0.839033020698728,0.959,293.7084,43.08815,15.564,13.933
9424,FALSE POSITIVE,6.610587426761461,6.42913739292231,0.03699156302989602,3.0055001117963513,6.816956113788802,0.01970072560563078,1.892705795463005,1.5379055168528921,1.0253,89.99,283.0,1.2002974490643574,6.352869126715528,0.3124,0.2859,1,1.0,6388.0,4.427,-0.36,0.9045166723321573,1.035,291.19321,43.475128,14.28,12.949
9425,CANDIDATE,6.516215737408114,6.263020868493879,0.1829772556867104,3.5121372960107147,6.992648589845311,0.021268396522693276,0.5820705178805264,1.483175137283405,0.929,89.93,249.0,0.816281421063876,5.736001901437404,0.2676,0.3928,1,1.0,5741.0,4.502,-0.12,0.807379607985494,0.934,295.22299,43.590439,15.023,13.403
9426,FALSE POSITIVE,4.24866808775746,5.77034793601251,0.8058908008221422,1.3328228376079214,6.750166728910311,0.023347878696191784,2.567114451292464,1.2751890808989612,0.185,89.31,376.0,2.260130193084938,5.0080097449789065,0.0722,0.674,1,1.0,4559.0,4.653,-0.1,0.6095466603764004,0.707,282.90509,43.871769,15.326,13.044
9427,CANDIDATE,6.762564055396573,6.583156055226852,0.6657250107322317,3.6708543413002963,5.396371655105212,0.010303817675281825,0.17403020740466862,0.9769880877913357,1.1457,89.66,259.0,0.9300152036702934,5.480656284001007,0.3032,0.3147,1,1.0,6263.0,4.46,-0.22,0.8877232506879169,1.068,289.66574,43.879459,13.814,12.47
9428,FALSE POSITIVE,6.65102388457951,6.565077077335854,0.46235042135380083,3.4356697827829246,7.304785360275149,0.025314296289164245,0.6119703768390392,1.5861119704218918,0.9641,89.84,224.0,0.5688248987322475,5.8447115477553595,0.2434,0.4341,1,2.0,5425.0,4.484,-0.22,0.7689499229245321,0.796,295.49759,43.909611,15.876,14.007
9430,CANDIDATE,0.8827282550146681,5.57952012240118,0.0739326285517091,1.051335705084184,4.954467343718216,0.0076859243274541526,2.1847966260626737,0.585898932259168,0.0182,89.31,1545.0,7.902835146562152,2.5161444961645887,0.2665,0.398,1,1.0,5521.0,4.613,-0.44,0.6802980030419857,0.821,297.69662,46.264679,14.985,13.372
9431,FALSE POSITIVE,1.5361301422462976,5.577977953491194,0.536839917349681,1.2030550216493494,4.468335817478155,0.006238959525070647,1.8641586678601325,0.5429305054577264,0.0305,86.55,1236.0,7.003865964081557,2.9313710103274895,0.2075,0.49,1,1.0,5349.0,4.478,-0.24,0.7605333842651096,0.767,286.80914,46.390411,13.805,11.877
9432,CANDIDATE,0.7806030771884801,5.577190995230421,0.4094620252799509,0.9121465945657946,5.641210191902521,0.011095772320445467,2.3257032668423268,0.9436034286108381,0.0177,85.86,1825.0,8.565430858336018,2.4651288428588662,0.2622,0.4035,1,1.0,5806.0,4.528,-0.04,0.8081234566862229,0.996,287.81287,46.340569,15.769,14.297
9433,FALSE POSITIVE,2.05775175271118,5.576768933564117,0.28608171457448234,1.2133124033365388,5.755752227857249,0.011426751331992712,2.800966688408949,0.27646469136566143,0.0283,89.1,407.0,2.561649866515139,3.616572614330849,0.366,0.3573,1,2.0,3274.0,5.044,0.02,0.222167837223141,0.202,289.24158,46.359711,15.61,12.224
9434,CANDIDATE,6.763814761547243,5.922853953117784,0.39003531977071526,3.726754811325609,6.245722852123114,0.014756464449504169,0.3251788211304585,1.1552963513403973,1.1163,89.85,219.0,0.5254804479785135,5.694416634110129,0.2291,0.4603,1,1.0,5580.0,4.538,0.14,0.7984245338413624,0.989,292.41211,46.36388,14.942,13.283
